iso3,country,region,n_ops,operators,avg_price,avg_down,avg_up,ppm,gni,gni_note,gdp,bigmac,monthly_inc,pct_income,price_bigmacs,vs_median,pop
ALB,Albania,Europe,3,ALBtelecom | ONE Albania | Abissnet,21.38,233.0,233.0,0.0916,9910.0,wb,11374.0,,825.83,2.59,,0.57,2.8
PLW,Palau,Oceania,1,PNCC (Palau National Communications Corp),21.2,,,,16920.0,wb,18169.0,,1410.0,1.5,,0.57,0.018
EST,Estonia,Europe,3,Telia Eesti | Elisa Eesti | STV,20.93,300.0,217.0,0.0698,28880.0,wb,31428.0,,2406.67,0.87,,0.56,1.4
MNG,Mongolia,Asia,3,Unitel | Mobicom | Skytel,20.54,167.0,83.0,0.1233,5380.0,wb,6751.0,,448.33,4.58,,0.55,3.5
URY,Uruguay,South America,3,Antel | Monte Cablevideo | Tractoral (TCC),20.52,400.0,30.0,0.0513,22000.0,wb,24308.0,8.94,1833.33,1.12,2.3,0.55,3.4
PRY,Paraguay,South America,3,Tigo | Claro | Personal,20.48,267.0,200.0,0.0768,6290.0,wb,6457.0,,524.17,3.91,,0.55,6.9
PER,Peru,South America,3,Movistar | Claro | Bitel,20.19,267.0,300.0,0.0757,7530.0,wb,8526.0,4.99,627.5,3.22,4.05,0.54,34.0
BRA,Brazil,South America,3,Vivo | Claro | TIM,20.13,383.0,150.0,0.0525,9930.0,wb,10311.0,4.71,827.5,2.43,4.27,0.54,212.0
MKD,North Macedonia,Europe,3,Makedonski Telekom | ONE Macedonia | A1 Macedonia,19.93,150.0,150.0,0.1329,8300.0,wb,9292.0,,691.67,2.88,,0.53,1.8
KAZ,Kazakhstan,Asia,3,JSC Kazakhtelecom | Beeline Kazakhstan | Altel,19.86,167.0,67.0,0.1192,12100.0,wb,14155.0,,1008.33,1.97,,0.53,21.0
TUR,Turkey,Asia,3,Turk Telekom (TTNet) | Turkcell Superonline | Vodafone Net,18.98,200.0,83.0,0.0949,13430.0,wb,15893.0,6.91,1119.17,1.7,2.75,0.51,87.0
AZE,Azerbaijan,Asia,3,Aztelekom | Azeronline (Azercell group) | Bakcell,17.85,217.0,150.0,0.0824,7340.0,wb,7295.0,4.26,611.67,2.92,4.19,0.48,10.4
POL,Poland,Europe,3,Orange Polska | Play (Netia) | T-Mobile Polska,17.53,300.0,300.0,0.0584,21590.0,wb,25104.0,6.22,1799.17,0.97,2.82,0.47,37.0
LVA,Latvia,Europe,3,Tet (Lattelecom) | Balticom | Bite Latvija,17.53,300.0,300.0,0.0584,21520.0,wb,23579.0,,1793.33,0.98,,0.47,1.9
KOR,South Korea,Asia,3,KT | SK Broadband | LG U+,16.67,100.0,100.0,0.1667,36750.0,wb,36239.0,3.84,3062.5,0.54,4.34,0.45,52.0
UZB,Uzbekistan,Asia,3,UZTELECOM | Skyline | TNET,16.67,133.0,100.0,0.125,3170.0,wb,3337.0,,264.17,6.31,,0.45,36.0
KGZ,Kyrgyzstan,Asia,3,OJSC Kyrgyztelecom | ElCat Ltd | AKNET Ltd,16.48,133.0,67.0,0.1236,2260.0,wb,2515.0,,188.33,8.75,,0.44,7.2
THA,Thailand,Asia,3,AIS | True | 3BB,16.13,367.0,367.0,0.044,7130.0,wb,7387.0,4.02,594.17,2.71,4.01,0.43,72.0
BGR,Bulgaria,Europe,3,Vivacom | A1 Bulgaria | Yettel Bulgaria,16.0,300.0,300.0,0.0533,15370.0,wb,17597.0,,1280.83,1.25,,0.43,6.4
CHL,Chile,South America,3,Movistar | Claro | WOM,15.62,600.0,600.0,0.026,15840.0,wb,16659.0,5.41,1320.0,1.18,2.89,0.42,20.0
MDA,Moldova,Europe,3,Moldtelecom | StarNet | Orange Moldova,15.5,300.0,300.0,0.0517,6890.0,wb,7579.0,4.56,574.17,2.7,3.4,0.42,3.0
ARG,Argentina,South America,3,Personal | Claro | Telecentro,15.18,267.0,250.0,0.0569,13530.0,wb,13970.0,5.91,1127.5,1.35,2.57,0.41,46.0
ARM,Armenia,Asia,3,Ucom | Telecom Armenia (Beeline / Team) | Viva Armenia,15.11,100.0,50.0,0.1511,7810.0,wb,8556.0,,650.83,2.32,,0.4,3.0
CUB,Cuba,North America,1,ETECSA,15.0,60.0,60.0,0.25,9605.0,wb,9605.0,,800.42,1.87,,0.4,11.0
TJK,Tajikistan,Asia,3,Tajiktelecom OJSC | Megafon Tajikistan | Tcell,14.19,100.0,67.0,0.1419,1650.0,wb,1362.0,,137.5,10.32,,0.38,10.6
LTU,Lithuania,Europe,3,Telia Lietuva | Cgates | Init,13.97,233.0,167.0,0.0599,27110.0,wb,29604.0,,2259.17,0.62,,0.37,2.9
NPL,Nepal,Asia,3,WorldLink | Subisu CableNet | Nepal Telecom (NTC),13.47,100.0,67.0,0.1347,1480.0,wb,1460.0,,123.33,10.92,,0.36,30.0
HUN,Hungary,Europe,3,Magyar Telekom | DIGI Hungary | Vodafone Hungary,13.03,283.0,283.0,0.046,20800.0,wb,23305.0,5.3,1733.33,0.75,2.46,0.35,9.6
DOM,Dominican Republic,North America,3,Altice | Claro | Wind Telecom,12.0,200.0,200.0,0.06,10310.0,wb,10876.0,,859.17,1.4,,0.32,11.0
ROU,Romania,Europe,3,Digi (RCS&RDS) | Orange România | Vodafone România,11.77,300.0,300.0,0.0392,17600.0,wb,20080.0,4.01,1466.67,0.8,2.93,0.32,19.0
IND,India,Asia,3,Reliance Jio (JioFiber) | Bharti Airtel (Airtel Xstream Fiber) | ACT Fibernet,11.43,183.0,183.0,0.0623,2550.0,wb,2592.0,2.45,212.5,5.38,4.67,0.31,1451.0
MDG,Madagascar,Africa,1,Telma,11.0,200.0,,0.055,520.0,wb,550.0,,43.33,25.38,,0.29,32.0
SLB,Solomon Islands,Oceania,1,Our Telekom,10.11,10.0,,1.011,1910.0,wb,1934.0,,159.17,6.35,,0.27,0.83
BLR,Belarus,Europe,3,Beltelecom (byfly) | MTS Belarus | A1 Belarus,9.7,300.0,300.0,0.0323,8380.0,wb,8606.0,,698.33,1.39,,0.26,9.1
BTN,Bhutan,Asia,3,Bhutan Telecom (DrukNet) | Tashi InfoComm | SuperNet InfoComm,8.75,100.0,50.0,0.0875,3910.0,wb,4228.0,,325.83,2.68,,0.23,0.79
VNM,Vietnam,Asia,3,VNPT | FPT Telecom | Viettel,7.89,300.0,300.0,0.0263,4490.0,wb,4717.0,2.89,374.17,2.11,2.73,0.21,101.0
RUS,Russia,Europe,3,Rostelecom | MGTS | Beeline,6.53,267.0,167.0,0.0245,15330.0,wb,14962.0,,1277.5,0.51,,0.17,144.0
CHN,China,Asia,3,China Telecom | China Unicom | China Mobile,5.63,267.0,30.0,0.0211,13660.0,wb,13293.0,3.91,1138.33,0.49,1.44,0.15,1419.0
UKR,Ukraine,Europe,3,Ukrtelecom | Kyivstar | Triolan,5.43,200.0,133.0,0.0272,5230.0,wb,5392.0,3.34,435.83,1.25,1.63,0.15,38.0
IRN,Iran,Asia,3,HiWeb | Respina | Parsnet,3.48,200.0,100.0,0.0174,5130.0,wb,5190.0,,427.5,0.81,,0.09,92.0
