iso3,country,gdp_per_capita_usd,gni_per_capita_usd,population,year
OMN,Oman,20285.0,19520.0,5.3,2024
NZL,New Zealand,49432.0,47070.0,5.3,2024
MRT,Mauritania,2105.0,2110.0,5.2,2024
CRI,Costa Rica,18853.0,15710.0,5.2,2024
KWT,Kuwait,32856.0,41110.0,4.9,2024
PAN,Panama,19161.0,17950.0,4.5,2024
HRV,Croatia,24050.0,22230.0,3.9,2024
GEO,Georgia,8968.0,7870.0,3.8,2024
ERI,Eritrea,,650,3.6,2024
MNG,Mongolia,6751.0,5380.0,3.5,2024
URY,Uruguay,24308.0,22000.0,3.4,2024
BIH,Bosnia and Herzegovina,9398.0,8810.0,3.2,2024
QAT,Qatar,75685.0,76570.0,3.1,2024
NAM,Namibia,4502.0,4290.0,3.0,2024
ARM,Armenia,8556.0,7810.0,3.0,2024
MDA,Moldova,7579.0,6890.0,3.0,2024
LTU,Lithuania,29604.0,27110.0,2.9,2024
JAM,Jamaica,7754.0,7190.0,2.8,2024
ALB,Albania,11374.0,9910.0,2.8,2024
GMB,Gambia,871.0,880.0,2.8,2024
BWA,Botswana,7650.0,7610.0,2.5,2024
GAB,Gabon,8230.0,7870.0,2.5,2024
LSO,Lesotho,1023.0,1240.0,2.4,2024
GNB,Guinea-Bissau,998.0,980.0,2.2,2024
SVN,Slovenia,34301.0,31790.0,2.1,2024
LVA,Latvia,23579.0,21520.0,1.9,2024
GNQ,Equatorial Guinea,7004.0,6050.0,1.9,2024
MKD,North Macedonia,9292.0,8300.0,1.8,2024
BHR,Bahrain,29717.0,28170.0,1.6,2024
TTO,Trinidad and Tobago,18733.0,19290.0,1.4,2024
EST,Estonia,31428.0,28880.0,1.4,2024
TLS,Timor-Leste,1332.0,1650.0,1.4,2024
CYP,Cyprus,38674.0,32870.0,1.4,2024
MUS,Mauritius,11991.0,12960.0,1.3,2024
SWZ,Eswatini,3910.0,3440.0,1.2,2024
DJI,Djibouti,3553.0,3640.0,1.1,2024
FJI,Fiji,6426.0,5820.0,0.93,2024
COM,Comoros,1858.0,1730.0,0.87,2024
SLB,Solomon Islands,1934.0,1910.0,0.83,2024
GUY,Guyana,29675.0,26400.0,0.83,2024
BTN,Bhutan,4228.0,3910.0,0.79,2024
LUX,Luxembourg,137782.0,84650.0,0.67,2024
SUR,Suriname,6962.0,5690.0,0.63,2024
MNE,Montenegro,13270.0,12210.0,0.63,2024
MLT,Malta,44024.0,36540.0,0.56,2024
CPV,Cabo Verde,5170.0,4940.0,0.53,2024
MDV,Maldives,13379.0,11540.0,0.53,2024
BRN,Brunei,33153.0,36020.0,0.46,2024
BLZ,Belize,7681.0,7150.0,0.42,2024
BHS,Bahamas,39455.0,37020.0,0.4,2024
ISL,Iceland,85863.0,80910.0,0.39,2024
VUT,Vanuatu,3960.0,4130.0,0.34,2024
BRB,Barbados,26897.0,25360.0,0.28,2024
STP,São Tomé and Príncipe,3503.0,2910.0,0.24,2024
WSM,Samoa,5393.0,5040.0,0.22,2024
LCA,Saint Lucia,14494.0,12840.0,0.18,2024
KIR,Kiribati,2551.0,3580.0,0.13,2024
SYC,Seychelles,18365.0,17700.0,0.13,2024
GRD,Grenada,11529.0,10790.0,0.12,2024
FSM,Micronesia,4252.0,4490.0,0.12,2024
TON,Tonga,6215.0,6270.0,0.11,2024
VCT,Saint Vincent and the Grenadines,11501.0,11210.0,0.1,2024
ATG,Antigua and Barbuda,23060.0,21200.0,0.09,2024
AND,Andorra,49357.0,47740.0,0.081,2024
DMA,Dominica,10405.0,9930.0,0.073,2024
KNA,Saint Kitts and Nevis,23961.0,21960.0,0.047,2024
MHL,Marshall Islands,7590.0,8510.0,0.042,2024
LIE,Liechtenstein,220167.0,220167.0,0.04,2024
MCO,Monaco,288002.0,288002.0,0.039,2024
SMR,San Marino,59871.0,53910.0,0.034,2024
PLW,Palau,18169.0,16920.0,0.018,2024
NRU,Nauru,14048.0,21940.0,0.013,2024
TUV,Tuvalu,5884.0,7970.0,0.011,2024
VAT,Vatican City,,50000,0.001,2024
